software_unit_id,file,line,end_line,qualified_function,visibility,function_summary,detailed_design_evidence,interface_evidence,requirements_architecture_trace,document_references,unit_verification_trace,test_references,aspice_document_verdict,linked_findings
SWU-1E35C05EA3,src/agents/analysts/evidence_provenance.py,190,192,blend_debate_consensus,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-39F851DEAD,src/agents/analysts/fundamentals.py,11,24,_bias_from_quotes,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-D0B578D7F2,src/agents/analysts/fundamentals.py,27,90,_macro_context_evidence,internal,Turn macro input quality and event timing into auditable evidence.,有函数说明,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,P-证据不足,ASPICE-SWE-TRACE;ASPICE-SWE4-UV
SWU-2DC8E34E80,src/agents/analysts/fundamentals.py,93,107,run_fundamentals_analyst,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,存在同名测试引用,tests/unit/test_analyst_input_density.py,P-证据不足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD
SWU-215C3FB37A,src/agents/analysts/news.py,12,74,_news_context_evidence,internal,Add channel/topic/source quality evidence alongside raw headlines.,有函数说明,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,P-证据不足,ASPICE-SWE-TRACE;ASPICE-SWE4-UV
SWU-B07796DBD7,src/agents/analysts/news.py,77,98,run_news_analyst,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,存在同名测试引用,tests/unit/test_analyst_input_density.py,P-证据不足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD
SWU-8413383608,src/agents/analysts/news_bias.py,37,59,infer_news_bias,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-853C57015E,src/agents/analysts/sentiment.py,12,20,_social_note,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,部分注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV;ASPICE-SWE3-IF
SWU-E569D3F536,src/agents/analysts/sentiment.py,23,30,_social_bias_delta,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-00DB5653B2,src/agents/analysts/sentiment.py,33,100,_sentiment_context_evidence,internal,Capture sample quality and structure/social disagreement for auditability.,有函数说明,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,P-证据不足,ASPICE-SWE-TRACE;ASPICE-SWE4-UV
SWU-8E5DDAB513,src/agents/analysts/sentiment.py,103,159,run_sentiment_analyst,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,存在同名测试引用,tests/unit/test_analyst_input_density.py,P-证据不足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD
SWU-6EEC9DEABD,src/agents/analysts/structure_zones.py,11,59,ict_zone_evidence,public,FVG / OB proximity to current price.,有函数说明,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,P-证据不足,ASPICE-SWE-TRACE;ASPICE-SWE4-UV
SWU-6BF4E07518,src/agents/analysts/technical.py,19,69,_structure_bias,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-A800D7EFB0,src/agents/analysts/technical.py,72,146,_ict_context_evidence,internal,Convert computed ICT context into analyst evidence instead of leaving it report-only.,有函数说明,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,P-证据不足,ASPICE-SWE-TRACE;ASPICE-SWE4-UV
SWU-047ED2FCE9,src/agents/analysts/technical.py,149,176,_fibonacci_evidence,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-30C0262D6E,src/agents/analysts/technical.py,179,261,_indicator_evidence,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-EFB2EB527E,src/agents/analysts/technical.py,264,277,_quality_evidence,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-0ADAA6F91A,src/agents/analysts/technical.py,280,328,_support_resistance_evidence,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-699A6C41BF,src/agents/analysts/technical.py,331,334,_level_price_text,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-5E5145E5AF,src/agents/analysts/technical.py,337,371,_pa_evidence,internal,DGT volume profile / S&R facts for analyst evidence.,有函数说明,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,P-证据不足,ASPICE-SWE-TRACE;ASPICE-SWE4-UV
SWU-10ECC215F3,src/agents/analysts/technical.py,374,478,run_technical_analyst,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,存在同名测试引用,tests/unit/test_analyst_input_density.py,P-证据不足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD
SWU-C2054ACE2C,src/agents/bearish.py,12,77,_structure_items,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-63515361B0,src/agents/bearish.py,80,92,run_bearish_researcher,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,存在同名测试引用,tests/unit/test_analyst_team.py;tests/unit/test_llm_payload_funnel.py,P-证据不足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD
SWU-3BD84EEB0A,src/agents/bullish.py,12,67,_structure_items,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-87EC3EF32E,src/agents/bullish.py,70,82,run_bullish_researcher,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,存在同名测试引用,tests/unit/test_analyst_team.py;tests/unit/test_llm_payload_funnel.py,P-证据不足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD
SWU-29AA7948FF,src/agents/debate.py,16,89,run_debate,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,部分注解,存在符号级文档引用,docs/reviews/financial/runtime-review-2026-06-20.md;docs/reviews/financial/static-code-review.md,存在同名测试引用,tests/unit/test_analyst_team.py;tests/unit/test_debate_coherence.py;tests/unit/test_debate_parallel.py;tests/unit/test_llm_payload_funnel.py,P-证据不足,ASPICE-SWE3-DD;ASPICE-SWE3-IF
SWU-5766BC355B,src/agents/factory.py,60,68,_use_llm_stage,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,存在同名测试引用,tests/unit/test_analyst_team_llm.py;tests/unit/test_debate_parallel.py;tests/unit/test_llm_trade_stages.py;tests/unit/test_research_parallel.py,P-证据不足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD
SWU-8BD56770DA,src/agents/factory.py,71,100,_pick_evidence,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,部分注解,存在符号级文档引用,docs/operations/onboarding.md,无同名测试追溯证据,,P-证据不足,ASPICE-SWE3-DD;ASPICE-SWE4-UV;ASPICE-SWE3-IF
SWU-69649A77AE,src/agents/factory.py,103,134,_pick_analyst_report,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,部分注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV;ASPICE-SWE3-IF
SWU-61F26F47E9,src/agents/factory.py,137,142,_analyst_team_aggregate_source,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-590A53A74C,src/agents/factory.py,145,146,_use_llm_analyst,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-C7C1E6F330,src/agents/factory.py,149,151,_needs_rule_baseline,internal,Hybrid always needs rule output; pure LLM tries LLM first.,有函数说明,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,P-证据不足,ASPICE-SWE-TRACE;ASPICE-SWE4-UV
SWU-27167E88C9,src/agents/factory.py,154,155,_llm_stage_ok,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,部分注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV;ASPICE-SWE3-IF
SWU-3E86D74CEB,src/agents/factory.py,158,164,_ensure_rule_baseline,internal,Lazy rule baseline: skip in pure LLM mode when LLM already succeeded.,有函数说明,部分注解,无需求/架构追溯记录,,无同名测试追溯证据,,P-证据不足,ASPICE-SWE-TRACE;ASPICE-SWE4-UV;ASPICE-SWE3-IF
SWU-E8A54418D1,src/agents/factory.py,167,279,run_analyst_team,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,存在符号级文档引用,docs/architecture/analyst-context.md,存在同名测试引用,tests/unit/test_analyst_team.py;tests/unit/test_analyst_team_llm.py;tests/unit/test_debate_parallel.py;tests/unit/test_llm_payload_funnel.py,P-证据不足,ASPICE-SWE3-DD
SWU-7A4ECB2FC6,src/agents/factory.py,282,299,run_bullish,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
