requirement_id,requirement_title,architecture_ids,software_unit_ids,verification_ids,status,consistency
SWR-REP-001,Versioned human-review report,ARC-ADVICE;ARC-CORE;ARC-RUN,UNIT-038535558B;UNIT-0DC607AB64;UNIT-21570B9DEB;UNIT-2F300FEED2;UNIT-3365BE69B6;UNIT-338F795D63;UNIT-3D26D1EC62;UNIT-4BD152D87B;UNIT-56F8FF3B61;UNIT-6C61C7BBF5;UNIT-7DF4993AB3;UNIT-8A8BC190AA;UNIT-928784DA94;UNIT-969BF3943A;UNIT-A91501B8CA;UNIT-AA59BF5421;UNIT-ACC548ABA0;UNIT-AF0B99F0B7;UNIT-B141E8A708;UNIT-BA3F06E87A;UNIT-BA683051BA;UNIT-D0BEC20560;UNIT-D3D34BC712;UNIT-D41345D767;UNIT-D5EB6E2A98;UNIT-D85010DCA2;UNIT-E124606847;UNIT-EA2375EFD1;UNIT-F43788FE2B;UNIT-F6D48540E6,VM-UNIT;VM-DOCS;VM-REGRESSION,agreed,bidirectional-validated
SWR-ARC-001,Run archive persistence,ARC-RUN;ARC-CORE,UNIT-038535558B;UNIT-0DC607AB64;UNIT-21570B9DEB;UNIT-2F300FEED2;UNIT-3365BE69B6;UNIT-338F795D63;UNIT-3D26D1EC62;UNIT-4BD152D87B;UNIT-6C61C7BBF5;UNIT-7DF4993AB3;UNIT-8A8BC190AA;UNIT-969BF3943A;UNIT-A91501B8CA;UNIT-AA59BF5421;UNIT-AF0B99F0B7;UNIT-B141E8A708;UNIT-BA3F06E87A;UNIT-D0BEC20560;UNIT-D3D34BC712;UNIT-D5EB6E2A98;UNIT-D85010DCA2;UNIT-E124606847;UNIT-EA2375EFD1;UNIT-F43788FE2B,VM-UNIT;VM-REGRESSION,agreed,bidirectional-validated
SWR-ARC-002,Legacy archive reconstruction,ARC-RUN;ARC-VIZ,UNIT-038535558B;UNIT-202DB41FE0;UNIT-2E19DCA37C;UNIT-2F300FEED2;UNIT-3365BE69B6;UNIT-3D26D1EC62;UNIT-3EC85337CA;UNIT-4756F86A84;UNIT-4C9DB5733A;UNIT-6C61C7BBF5;UNIT-6FA4E87F8A;UNIT-7DF4993AB3;UNIT-87EC9BC982;UNIT-8A8BC190AA;UNIT-8B3827F5EC;UNIT-969BF3943A;UNIT-A63D87A7BB;UNIT-AF0B99F0B7;UNIT-D3D34BC712;UNIT-D8AB5E90B4;UNIT-E124606847;UNIT-E27519993B;UNIT-EA2375EFD1;UNIT-EE18DE86B2,VM-UNIT;VM-REGRESSION,agreed,bidirectional-validated
SWR-UI-001,Human-review advice interface,ARC-APP;ARC-VIZ,UNIT-02D5D8E12E;UNIT-13CCE7FD07;UNIT-1FE6319D7A;UNIT-202DB41FE0;UNIT-2E19DCA37C;UNIT-3EC85337CA;UNIT-4756F86A84;UNIT-4C9DB5733A;UNIT-6FA4E87F8A;UNIT-87EC9BC982;UNIT-8B3827F5EC;UNIT-A63D87A7BB;UNIT-B2A1584DAD;UNIT-D2F443BBB9;UNIT-D8AB5E90B4;UNIT-E27519993B;UNIT-EE18DE86B2,VM-UNIT;VM-MANUAL-UI,agreed,bidirectional-validated
SWR-UI-002,Manual-confirmation disclosure,ARC-VIZ;ARC-ADVICE,UNIT-202DB41FE0;UNIT-2E19DCA37C;UNIT-3EC85337CA;UNIT-4756F86A84;UNIT-4C9DB5733A;UNIT-56F8FF3B61;UNIT-6FA4E87F8A;UNIT-87EC9BC982;UNIT-8B3827F5EC;UNIT-928784DA94;UNIT-A63D87A7BB;UNIT-ACC548ABA0;UNIT-BA683051BA;UNIT-D41345D767;UNIT-D8AB5E90B4;UNIT-E27519993B;UNIT-EE18DE86B2;UNIT-F6D48540E6,VM-UNIT;VM-MANUAL-UI,agreed,bidirectional-validated
SWR-CFG-001,Configuration and secret handling,ARC-APP;ARC-LLM;ARC-RUN,UNIT-02D5D8E12E;UNIT-038535558B;UNIT-13CCE7FD07;UNIT-1FE6319D7A;UNIT-2F300FEED2;UNIT-31083EB5D0;UNIT-3365BE69B6;UNIT-3D26D1EC62;UNIT-598812089B;UNIT-6568B95AFA;UNIT-6C61C7BBF5;UNIT-7DF4993AB3;UNIT-8A8BC190AA;UNIT-969BF3943A;UNIT-AF0B99F0B7;UNIT-B2A1584DAD;UNIT-D2F443BBB9;UNIT-D3D34BC712;UNIT-D7FD07AF44;UNIT-DEB0D517C6;UNIT-E124606847;UNIT-E488978A91;UNIT-EA2375EFD1;UNIT-FBF77B94FB,VM-UNIT;VM-CONFIG,agreed,bidirectional-validated
SWR-NFR-001,Fault isolation and graceful degradation,ARC-DATA;ARC-ADVICE;ARC-LLM,UNIT-023A37A1E9;UNIT-05079ECC27;UNIT-0DF4638D5E;UNIT-0F842B8ECE;UNIT-1FA1BDF5BA;UNIT-24843AC961;UNIT-2B33A302FC;UNIT-31083EB5D0;UNIT-4D4D8A02C7;UNIT-52888D723D;UNIT-56F8FF3B61;UNIT-58D6F95301;UNIT-598812089B;UNIT-5C3B60E30A;UNIT-5C9ECC73E4;UNIT-603339624C;UNIT-62A1AFF305;UNIT-6568B95AFA;UNIT-7020937074;UNIT-767BF49F25;UNIT-7BFC490988;UNIT-927BB1749D;UNIT-928784DA94;UNIT-ACC548ABA0;UNIT-B05F7AFFA4;UNIT-BA683051BA;UNIT-BA8DF8A829;UNIT-C1711535CA;UNIT-C335B8F5CF;UNIT-C3952C43CB;UNIT-C590FCE576;UNIT-D3B9BEAAC0;UNIT-D41345D767;UNIT-D7FD07AF44;UNIT-DAD8BC5B0F;UNIT-DEB0D517C6;UNIT-E488978A91;UNIT-EA7E4F88FE;UNIT-EC9B21793D;UNIT-F5D8BD410B;UNIT-F6D48540E6;UNIT-FBF77B94FB;UNIT-FE5C27C113,VM-UNIT;VM-INTEGRATION-EXTERNAL,agreed,bidirectional-validated
SWR-NFR-002,Auditability and reproducibility,ARC-CORE;ARC-ADVICE;ARC-RUN,UNIT-038535558B;UNIT-0DC607AB64;UNIT-21570B9DEB;UNIT-2F300FEED2;UNIT-3365BE69B6;UNIT-338F795D63;UNIT-3D26D1EC62;UNIT-4BD152D87B;UNIT-56F8FF3B61;UNIT-6C61C7BBF5;UNIT-7DF4993AB3;UNIT-8A8BC190AA;UNIT-928784DA94;UNIT-969BF3943A;UNIT-A91501B8CA;UNIT-AA59BF5421;UNIT-ACC548ABA0;UNIT-AF0B99F0B7;UNIT-B141E8A708;UNIT-BA3F06E87A;UNIT-BA683051BA;UNIT-D0BEC20560;UNIT-D3D34BC712;UNIT-D41345D767;UNIT-D5EB6E2A98;UNIT-D85010DCA2;UNIT-E124606847;UNIT-EA2375EFD1;UNIT-F43788FE2B;UNIT-F6D48540E6,VM-UNIT;VM-REGRESSION,agreed,bidirectional-validated
SWR-NFR-003,Automated quality gate,ARC-TOOLS,UNIT-2781538FF5;UNIT-37E036C51B;UNIT-44DA65110B;UNIT-670F7F7454;UNIT-70EE096332;UNIT-76C5F6645C;UNIT-8F71F01664;UNIT-9572F90802;UNIT-B4A1ACCFA2;UNIT-C913C2495C;UNIT-D4B396B36E;UNIT-D538889607;UNIT-DE82D6E44B;UNIT-EBDE8E6443;UNIT-EEFB367071,VM-UNIT;VM-REGRESSION;VM-DOCS;VM-TRACE;VM-STATIC,agreed,bidirectional-validated
SWR-NFR-004,Configuration-management evidence,ARC-TOOLS;ARC-RUN,UNIT-038535558B;UNIT-2781538FF5;UNIT-2F300FEED2;UNIT-3365BE69B6;UNIT-37E036C51B;UNIT-3D26D1EC62;UNIT-44DA65110B;UNIT-670F7F7454;UNIT-6C61C7BBF5;UNIT-70EE096332;UNIT-76C5F6645C;UNIT-7DF4993AB3;UNIT-8A8BC190AA;UNIT-8F71F01664;UNIT-9572F90802;UNIT-969BF3943A;UNIT-AF0B99F0B7;UNIT-B4A1ACCFA2;UNIT-C913C2495C;UNIT-D3D34BC712;UNIT-D4B396B36E;UNIT-D538889607;UNIT-DE82D6E44B;UNIT-E124606847;UNIT-EA2375EFD1;UNIT-EBDE8E6443;UNIT-EEFB367071,VM-CONFIG;VM-TRACE,agreed,bidirectional-validated
