function_id,software_unit_id,source_path,line,qualified_name,visibility,signature,return_contract,responsibility,preconditions,postconditions,explicit_exceptions,side_effects,concurrency,call_dependencies,branch_points,line_span,risk,architecture_id,requirement_ids,test_references,verification_disposition,design_status
FUN-2F41B39115,UNIT-B2A1584DAD,run_app.py,217,_terminate_pid,internal,(pid: int),None,As-built responsibility derived from `_terminate_pid` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,os.kill;str;subprocess.run,3,16,low,ARC-APP,SWR-CORE-002;SWR-UI-001;SWR-CFG-001,,static-and-component,baselined-as-built
FUN-93AFB64487,UNIT-B2A1584DAD,run_app.py,235,stop_stale_streamlit,public,(port: int),None,As-built responsibility derived from `stop_stale_streamlit` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,_is_project_streamlit_pid;_pids_listening_on_port;_terminate_pid;print;targets.append,4,16,medium,ARC-APP,SWR-CORE-002;SWR-UI-001;SWR-CFG-001,,static-and-component,baselined-as-built
FUN-5749848613,UNIT-B2A1584DAD,run_app.py,253,parse_args,public,(),argparse.Namespace,As-built responsibility derived from `parse_args` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,argparse.ArgumentParser;parser.add_argument;parser.parse_args,0,9,medium,ARC-APP,SWR-CORE-002;SWR-UI-001;SWR-CFG-001,,static-and-component,baselined-as-built
FUN-8C169563E6,UNIT-B2A1584DAD,run_app.py,264,main,public,(),int,As-built responsibility derived from `main` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,shared-state,caller-thread,ensure_streamlit_config;init_dev_env;int;load_dotenv;os.chdir;os.environ.get;parse_args;print;resolve_python;stop_stale_streamlit;str;subprocess.call;subprocess.run,4,49,medium,ARC-APP,SWR-CORE-002;SWR-UI-001;SWR-CFG-001,tests/unit/test_chart_projections.py,direct-dynamic,baselined-as-built
FUN-BE28BB75D8,UNIT-DE82D6E44B,scripts/check_aspice_assets.py,54,stable_id,public,"(prefix: str, value: str)",str,As-built responsibility derived from `stable_id` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,hashlib.sha1;hexdigest;upper;value.encode,0,3,medium,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,,static-and-component,baselined-as-built
FUN-04A944FECE,UNIT-DE82D6E44B,scripts/check_aspice_assets.py,59,read_yaml,public,(path: Path),"dict[str, Any]",As-built responsibility derived from `read_yaml` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,ValueError,none-detected,caller-thread,ValueError;isinstance;path.read_text;path.relative_to;yaml.safe_load,1,5,medium,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,,static-and-component,baselined-as-built
FUN-6D47944494,UNIT-DE82D6E44B,scripts/check_aspice_assets.py,66,rel,public,(path: Path),str,As-built responsibility derived from `rel` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,as_posix;path.relative_to,0,2,medium,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,tests/unit/test_golden_report_benchmark.py;tests/unit/test_report_reliability.py,direct-dynamic,baselined-as-built
FUN-6175EF47CC,UNIT-DE82D6E44B,scripts/check_aspice_assets.py,70,source_files,public,(),list[Path],As-built responsibility derived from `source_files` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,ROOT.rglob;any;casefold;path.relative_to;rel;sorted,0,9,medium,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,,static-and-component,baselined-as-built
FUN-7B527C5C90,UNIT-DE82D6E44B,scripts/check_aspice_assets.py,81,document_files,public,(),list[Path],As-built responsibility derived from `document_files` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,ROOT.glob;casefold;path.exists;path.is_file;paths.update;rel;rglob;sorted,1,7,medium,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,,static-and-component,baselined-as-built
FUN-5AE4FDB3FC,UNIT-DE82D6E44B,scripts/check_aspice_assets.py,90,document_classification,public,(path: Path),"tuple[str, str, str, str]",As-built responsibility derived from `document_classification` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,path_str.startswith;rel,21,51,medium,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,,static-and-component,baselined-as-built
FUN-64EED0D566,UNIT-DE82D6E44B,scripts/check_aspice_assets.py,143,document_title,public,(path: Path),str,As-built responsibility derived from `document_title` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,filesystem,caller-thread,match.group;path.exists;path.read_text;path.stem.replace;path.suffix.lower;re.search;replace;strip,2,7,medium,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,,static-and-component,baselined-as-built
FUN-FC561D92DB,UNIT-DE82D6E44B,scripts/check_aspice_assets.py,152,build_document_register,public,(),"list[dict[str, str]]",As-built responsibility derived from `build_document_register` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,document_classification;document_files;document_title;rel;rows.append;stable_id,3,20,medium,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,,static-and-component,baselined-as-built
FUN-3C97CAEE46,UNIT-DE82D6E44B,scripts/check_aspice_assets.py,174,component_for,public,(path: Path),str,As-built responsibility derived from `component_for` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,rel;value.startswith,10,23,medium,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,,static-and-component,baselined-as-built
FUN-F9F01026C2,UNIT-DE82D6E44B,scripts/check_aspice_assets.py,199,module_doc,public,"(tree: ast.AST, component_name: str)",str,As-built responsibility derived from `module_doc` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,ast.get_docstring;doc.splitlines,1,3,medium,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,,static-and-component,baselined-as-built
FUN-D410BE7A27,UNIT-DE82D6E44B,scripts/check_aspice_assets.py,204,build_units,public,"(arch: dict[str, Any])","tuple[list[dict[str, str]], list[dict[str, str]]]",As-built responsibility derived from `build_units` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,ast.iter_child_nodes;ast.parse;ast.walk;component_for;functions.append;int;isinstance;join;module_doc;node.name.startswith;owners.append;parents.get;path.read_text;rel;reversed;sorted;source_files;stable_id;str;units.append,8,57,medium,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,,static-and-component,baselined-as-built
FUN-2CEB1F60F7,UNIT-DE82D6E44B,scripts/check_aspice_assets.py,263,build_trace_rows,public,"(reqs: dict[str, Any], units: list[dict[str, str]])","list[dict[str, str]]",As-built responsibility derived from `build_trace_rows` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,append;defaultdict;join;rows.append;sorted,2,19,medium,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,,static-and-component,baselined-as-built
FUN-BEAE13CF69,UNIT-DE82D6E44B,scripts/check_aspice_assets.py,284,dependency_outputs,public,"(report: dict[str, Any])","tuple[str, str]",As-built responsibility derived from `dependency_outputs` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,filesystem,caller-thread,archive.get;components.append;get;hashes.get;item.get;join;json.dumps;lock_lines.append;lower;name.lower;replace;report.get;sorted,3,35,medium,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,,static-and-component,baselined-as-built
FUN-C861D95E3C,UNIT-DE82D6E44B,scripts/check_aspice_assets.py,321,csv_text,public,"(rows: list[dict[str, str]])",str,As-built responsibility derived from `csv_text` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,ValueError,none-detected,caller-thread,ValueError;buffer.getvalue;csv.DictWriter;io.StringIO;list;writer.writeheader;writer.writerows,1,8,medium,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,,static-and-component,baselined-as-built
FUN-CEE22C60CC,UNIT-DE82D6E44B,scripts/check_aspice_assets.py,331,process_index,public,"(rows: list[dict[str, str]])",str,As-built responsibility derived from `process_index` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,append;defaultdict;join;lines.append;lines.extend;removeprefix;sorted;startswith,4,19,medium,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,,static-and-component,baselined-as-built
FUN-E18BB2DFA3,UNIT-DE82D6E44B,scripts/check_aspice_assets.py,352,expected_outputs,public,(),"dict[Path, str]",As-built responsibility derived from `expected_outputs` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,ValueError,none-detected,caller-thread,PIP_REPORT_PATH.exists;ValueError;build_document_register;build_trace_rows;build_units;csv_text;dependency_outputs;json.dumps;json.loads;process_index;read_yaml;report_path.exists;report_path.read_text,3,23,medium,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,,static-and-component,baselined-as-built
FUN-3C81471A20,UNIT-DE82D6E44B,scripts/check_aspice_assets.py,377,validate_model,public,"(*, allow_generated_missing: bool=False)",list[str],As-built responsibility derived from `validate_model` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,arch.get;arch_map.items;cm.get;component.get;errors.append;get;item_path.exists;len;read_yaml;req.get;req_map.items;reqs.get;reverse_ver.get;reverse_ver.items;ver.get,21,46,medium,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,,static-and-component,baselined-as-built
FUN-F855325A7A,UNIT-DE82D6E44B,scripts/check_aspice_assets.py,425,write_outputs,public,"(outputs: dict[Path, str])",None,As-built responsibility derived from `write_outputs` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,filesystem,caller-thread,ASPICE.mkdir;outputs.items;path.parent.mkdir;path.write_text,1,5,medium,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,,static-and-component,baselined-as-built
FUN-E57502A017,UNIT-DE82D6E44B,scripts/check_aspice_assets.py,432,check_outputs,public,"(outputs: dict[Path, str])",list[str],As-built responsibility derived from `check_outputs` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,build_document_register;document_files;errors.append;outputs.items;path.exists;path.read_text;rel,4,14,medium,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,,static-and-component,baselined-as-built
FUN-4AA307B1B4,UNIT-DE82D6E44B,scripts/check_aspice_assets.py,448,main,public,(),int,As-built responsibility derived from `main` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,argparse.ArgumentParser;build_units;check_outputs;document_files;errors.extend;expected_outputs;group.add_argument;join;len;parser.add_mutually_exclusive_group;parser.parse_args;print;read_yaml;validate_model;write_outputs,3,27,medium,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,tests/unit/test_chart_projections.py,direct-dynamic,baselined-as-built
FUN-8EFE0F5793,UNIT-D4B396B36E,scripts/check_mt5_connection.py,19,main,public,(),int,As-built responsibility derived from `main` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,MT5Config;get_mt5_provider;info.get;print;provider.account_info;provider.shutdown,2,27,medium,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,tests/unit/test_chart_projections.py,direct-dynamic,baselined-as-built
FUN-406938AB22,UNIT-B4A1ACCFA2,scripts/compare_pa_5m_tv.py,26,main,public,(),None,As-built responsibility derived from `main` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,external-io,caller-thread,analyze_dgt_price_action;analyze_timeframe;build_price_action_summaries;enrich;fetch_all_data;fetched.raw.items;float;lvl.get;print;round;vp.get,4,29,high,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,tests/unit/test_chart_projections.py,direct-dynamic,baselined-as-built
FUN-818471EA1D,UNIT-8E5050CAE9,scripts/compare_pa_tv.py,26,_delta,internal,"(ours: float | None, tv: float)",str,As-built responsibility derived from `_delta` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,none,1,4,low,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,,static-and-component,baselined-as-built
FUN-D24395608C,UNIT-8E5050CAE9,scripts/compare_pa_tv.py,32,main,public,(),None,As-built responsibility derived from `main` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,external-io,caller-thread,_delta;abs;analyze_dgt_price_action;analyze_timeframe;build_price_action_summaries;build_volume_profile;df15.tail;enrich;fetch_all_data;fetched.raw.items;float;generate_trading_signals;get;len;pa.get;print;sentiment_score;vp.get;x.get,7,81,high,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,tests/unit/test_chart_projections.py,direct-dynamic,baselined-as-built
FUN-85A3E4B3A3,UNIT-3FA67AE3BF,scripts/estimate_llm_tokens.py,39,_sys,internal,(mod: str),str,As-built responsibility derived from `_sys` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,getattr;importlib.import_module,0,2,low,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,,static-and-component,baselined-as-built
FUN-487EF18D78,UNIT-3FA67AE3BF,scripts/estimate_llm_tokens.py,43,_est,internal,(chars: int),int,As-built responsibility derived from `_est` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,int,0,2,low,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,,static-and-component,baselined-as-built
FUN-7143A40322,UNIT-3FA67AE3BF,scripts/estimate_llm_tokens.py,47,main,public,(),int,As-built responsibility derived from `main` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,_est;_sample_context;_sys;build_llm_context;build_report;compute_trading_signals;debate_payload;fundamentals_analyst_payload;json.dumps;len;level_proposer_payload;manager_payload;news_analyst_payload;print;research_payload;risk_payload;run_analyst_team;run_bearish_researcher;run_bullish_researcher;run_debate,1,57,medium,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,tests/unit/test_chart_projections.py,direct-dynamic,baselined-as-built
FUN-A27C77A1D3,UNIT-2781538FF5,scripts/export_sample_report.py,43,_sanitize,internal,(obj),runtime/inferred,As-built responsibility derived from `_sanitize` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,_sanitize;abs;isinstance;math.isinf;math.isnan;obj.items;round,5,10,low,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,,static-and-component,baselined-as-built
FUN-B0FFDEB50D,UNIT-2781538FF5,scripts/export_sample_report.py,55,_sample_context,internal,(),MarketContext,As-built responsibility derived from `_sample_context` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,ExternalFactors;HeadlineItem;MacroQuote;MarketContext;analyze_timeframe;enrich;float;pd.DataFrame;pd.Series;pd.date_range;range;round;to_numpy,0,61,medium,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,tests/unit/test_analyst_team.py;tests/unit/test_analyst_team_llm.py;tests/unit/test_debate_parallel.py;tests/unit/test_llm_payload_funnel.py;tests/unit/test_narrative_facts.py;tests/unit/test_research_parallel.py;tests/unit/test_signal_dedup.py,direct-dynamic,baselined-as-built
FUN-8B24CEF8E4,UNIT-2781538FF5,scripts/export_sample_report.py,118,main,public,(),int,As-built responsibility derived from `main` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,RuntimeError,filesystem,caller-thread,AgentPipelineMeta;AgentTrace;OUT.parent.mkdir;OUT.stat;OUT.write_text;RuntimeError;_sample_context;_sanitize;build_report;build_rule_narrative_sections;compute_trading_signals;debate.to_dict;decision.to_dict;get;isinstance;json.dumps;len;m.to_dict;math.isnan;pipeline_meta.to_dict,1,60,medium,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,tests/unit/test_chart_projections.py,direct-dynamic,baselined-as-built
FUN-39773424A2,UNIT-70EE096332,scripts/generate_aspice_software_evidence.py,40,_rel,internal,(path: Path),str,As-built responsibility derived from `_rel` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,as_posix;path.relative_to,0,2,low,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,,static-and-component,baselined-as-built
FUN-DD062CFF6E,UNIT-70EE096332,scripts/generate_aspice_software_evidence.py,44,_stable_id,internal,"(prefix: str, value: str)",str,As-built responsibility derived from `_stable_id` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,hashlib.sha1;hexdigest;upper;value.encode,0,3,low,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,,static-and-component,baselined-as-built
FUN-BED0DE409D,UNIT-70EE096332,scripts/generate_aspice_software_evidence.py,49,_source_files,internal,(),list[Path],As-built responsibility derived from `_source_files` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,ROOT.rglob;_rel;any;casefold;path.relative_to;sorted,0,9,low,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,,static-and-component,baselined-as-built
FUN-86730C4FBC,UNIT-70EE096332,scripts/generate_aspice_software_evidence.py,60,_test_corpus,internal,(),"dict[str, str]",As-built responsibility derived from `_test_corpus` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,_rel;casefold;path.read_text;rglob;sorted,0,8,low,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,,static-and-component,baselined-as-built
FUN-D937D4A0BB,UNIT-70EE096332,scripts/generate_aspice_software_evidence.py,70,_token_references,internal,"(token: str, corpus: dict[str, str])",list[str],As-built responsibility derived from `_token_references` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,corpus.items;pattern.search;re.compile;re.escape,0,3,low,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,,static-and-component,baselined-as-built
FUN-C81B19F40E,UNIT-70EE096332,scripts/generate_aspice_software_evidence.py,75,_component_for,internal,(path: str),str,As-built responsibility derived from `_component_for` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,path.startswith,3,17,low,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,,static-and-component,baselined-as-built
FUN-6E9B981DFB,UNIT-70EE096332,scripts/generate_aspice_software_evidence.py,94,_qualname,internal,"(node: ast.FunctionDef | ast.AsyncFunctionDef, parents: dict[ast.AST, ast.AST])",str,As-built responsibility derived from `_qualname` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,isinstance;join;owners.append;parents.get;reversed,2,8,low,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,,static-and-component,baselined-as-built
FUN-97FBBAC4CF,UNIT-70EE096332,scripts/generate_aspice_software_evidence.py,104,_call_name,internal,(call: ast.Call),str,As-built responsibility derived from `_call_name` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,isinstance;join;parts.append;reversed,2,9,low,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,,static-and-component,baselined-as-built
FUN-DF98642ACC,UNIT-70EE096332,scripts/generate_aspice_software_evidence.py,115,_node_contract,internal,(node: ast.FunctionDef | ast.AsyncFunctionDef),"dict[str, str | int]",As-built responsibility derived from `_node_contract` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,_call_name;any;ast.get_docstring;ast.unparse;ast.walk;doc.splitlines;effects.append;getattr;isinstance;join;lower;max;re.search;set;sorted;sum,9,41,medium,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,,static-and-component,baselined-as-built
FUN-966D638362,UNIT-70EE096332,scripts/generate_aspice_software_evidence.py,158,_risk,internal,"(path: str, name: str, contract: dict[str, str | int])",str,As-built responsibility derived from `_risk` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,int;name.split;re.search;startswith;str,2,8,low,ARC-TOOLS,SWR-NFR-003;SWR-NFR-004,,static-and-component,baselined-as-built
